process,repeat,cell,method,configuration,seconds,executed_tiles,output_count,output_sha256,tile_mask_sha256
0,1,k4,F16,all,0.061890263998066075,278031,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,5e8e028d40f9940f3087d6e5d4e31a33ec21f208d77c91150fd7409840daca9c
0,1,k4,F8,pca,0.04556659999070689,346802,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,210a2aa7744c59100c7fd3f32ef44b140f398605091aaefd0a62d615f09f7571
0,1,k4,F8,fm25,0.07206197800405789,290730,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,a2dc13b58ceefe6e9e1e6d787071e7ab5f8503f9cd5de56d85c33a323dc02c4e
0,1,k4,F8,fm10,0.06993508599407505,318543,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,356369a848eac22197f9c06973eb2a9eaf142a08806ab13e1188512db471d759
0,1,k4,F8,fm05,0.07293772300181445,334098,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,ffb0f71a72e5712e28b4a00a5d484ff369a43713c863fd934dec0d169dfb3f44
0,1,k4,F8,direct25,0.07201276600244455,300746,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,f522ead268eb28dd58428bea5ff5da50944685b793b961cf3b0597c6d7b8a1c1
0,1,k4,F8,random25,0.05818371698842384,329567,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,2da4017006bf343ecbf9507baed621834b9ed6ef00284b02d2bed57f7e117ba3
0,1,k4,F8,heuristic25,0.05109240200545173,304566,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,39eedb99886774bffd7555f8a55a8934c140d35be126b1ad7e168fe0894df53a
0,1,k4,F8,all,0.057871942000929266,278031,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,5e8e028d40f9940f3087d6e5d4e31a33ec21f208d77c91150fd7409840daca9c
0,2,k4,F8,heuristic25,0.05020296000293456,304566,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,39eedb99886774bffd7555f8a55a8934c140d35be126b1ad7e168fe0894df53a
0,2,k4,F8,random25,0.05581000298843719,329567,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,2da4017006bf343ecbf9507baed621834b9ed6ef00284b02d2bed57f7e117ba3
0,2,k4,F8,direct25,0.07046293899475131,300746,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,f522ead268eb28dd58428bea5ff5da50944685b793b961cf3b0597c6d7b8a1c1
0,2,k4,F8,fm05,0.0719604000041727,334098,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,ffb0f71a72e5712e28b4a00a5d484ff369a43713c863fd934dec0d169dfb3f44
0,2,k4,F8,fm10,0.07054592599160969,318543,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,356369a848eac22197f9c06973eb2a9eaf142a08806ab13e1188512db471d759
0,2,k4,F8,fm25,0.07264601900533307,290730,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,a2dc13b58ceefe6e9e1e6d787071e7ab5f8503f9cd5de56d85c33a323dc02c4e
0,2,k4,F8,pca,0.04633091499272268,346802,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,210a2aa7744c59100c7fd3f32ef44b140f398605091aaefd0a62d615f09f7571
0,2,k4,F8,all,0.06092601099226158,278031,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,5e8e028d40f9940f3087d6e5d4e31a33ec21f208d77c91150fd7409840daca9c
